Data;0-39;40-59;60-79;80-89;>= 90
09/02/21;0,29%;6,32%;35,06%;42,24%;16,09%
10/02/21;0;3,79%;37,24%;36,90%;22,07%
11/02/21;0;5,69%;33,44%;42,81%;18,06%
12/02/21;0,35%;4,56%;34,39%;41,75%;18,95%
13/02/21;0;2,37%;35,18%;39,92%;22,53%
14/02/21;0;4,87%;33,33%;43,07%;18,73%
15/02/21;0;6,69%;29,23%;43,66%;20,42%
16/02/21;0,35%;4,17%;35,07%;40,63%;19,79%
17/02/21;0,30%;3,89%;33,83%;43,11%;18,86%
18/02/21;0,97%;5,16%;34,19%;42,58%;17,10%
19/02/21;0,34%;3,78%;37,46%;37,46%;20,96%
20/02/21;0;7,09%;38,98%;37,80%;16,14%
21/02/21;0;5,26%;35,34%;38,72%;20,68%
22/02/21;0;7,87%;34,55%;37,92%;19,66%
23/02/21;0;7,21%;36,72%;37,70%;18,36%
24/02/21;0;4,12%;36,21%;40,74%;18,93%
25/02/21;0;4,89%;41,35%;36,47%;17,29%
26/02/21;0;4,90%;35,66%;42,31%;17,13%
27/02/21;0,36%;3,57%;41,43%;37,14%;17,50%
28/02/21;0;3,32%;39,42%;41,08%;16,18%
01/03/21;0;6,88%;36,88%;41,25%;15,00%
02/03/21;0,32%;5,47%;38,26%;38,91%;17,04%
03/03/21;0;4,92%;33,54%;49,23%;12,31%
04/03/21;0;4,46%;32,17%;47,77%;15,61%
05/03/21;0,63%;5,63%;37,19%;36,88%;19,69%
06/03/21;0;4,86%;42,71%;35,76%;16,67%
07/03/21;0;4,28%;38,49%;37,17%;20,07%
08/03/21;0;7,14%;30,84%;45,45%;16,56%
09/03/21;0,63%;5,05%;37,54%;40,69%;16,09%
10/03/21;0,28%;6,42%;41,90%;39,66%;11,73%
11/03/21;0,27%;5,04%;38,73%;40,58%;15,38%
12/03/21;1,02%;5,84%;39,09%;41,12%;12,94%
13/03/21;0;6,15%;38,27%;40,50%;15,08%
14/03/21;0,33%;5,56%;39,22%;36,60%;18,30%
15/03/21;0;5,18%;39,24%;38,96%;16,62%
16/03/21;0,23%;4,45%;37,24%;38,88%;19,20%
17/03/21;0,25%;4,31%;42,64%;38,07%;14,72%
18/03/21;0,48%;5,07%;42,51%;35,27%;16,67%
19/03/21;0,25%;4,07%;41,73%;39,95%;13,99%
20/03/21;0,53%;4,00%;38,40%;39,73%;17,33%
21/03/21;0,25%;3,97%;37,72%;43,92%;14,14%
22/03/21;0;3,63%;38,34%;41,71%;16,32%
23/03/21;0,44%;3,06%;37,55%;43,67%;15,28%
24/03/21;0,45%;4,27%;37,75%;41,57%;15,96%
