Data;Provincia;Nuovi Positivi (0-18 anni);Nuovi Positivi Totali;Rapporto Nuovi Positivi 0-18 su Nuovi Positivi Totali;Popolazione (0-18 anni);Tasso Nuovi Positivi su 100.000 (0-18 anni);Tamponi Effettuati (0-18 anni);% Nuovi Positivi su Popolazione (0-18 anni);% Nuovi Positivi su Tamponi (0-18 anni)
07/02/2022 - 13/02/2022;Grosseto;612;2.070;29,57%;31.106;1.967,47;3.952;1,97%;15,50%
07/02/2022 - 13/02/2022;Livorno;991;3.283;30,19%;48.911;2.026,13;6.738;2,03%;14,70%
07/02/2022 - 13/02/2022;Lucca;1.008;3.473;29,02%;57.349;1.757,66;6.262;1,76%;16,10%
07/02/2022 - 13/02/2022;Massa Carrara;387;1.376;28,13%;26.637;1.452,87;2.378;1,45%;16,30%
07/02/2022 - 13/02/2022;Pisa;1.040;3.385;30,72%;66.994;1.552,38;7.813;1,55%;13,30%
07/02/2022 - 13/02/2022;Prato;601;2.079;28,91%;44.793;1.341,73;4.167;1,34%;14,40%
07/02/2022 - 13/02/2022;Pistoia;748;2.492;30,02%;45.599;1.640,39;5.115;1,64%;14,60%
07/02/2022 - 13/02/2022;Siena;667;1.996;33,42%;40.917;1.630,13;4.716;1,63%;14,10%
07/02/2022 - 13/02/2022;Totale;9.194;30.829;29,82%;571.139;1.609,77;62.331;1,61%;14,80%
;;;;;;;;;
14/02/2022 - 20/02/2022;Arezzo;717;2.284;31,39%;52.240;1.372,51;3.377;1,37%;21,20%
14/02/2022 - 20/02/2022;Firenze;1.365;5.145;26,53%;156.593;871,69;9.187;0,87%;14,90%
14/02/2022 - 20/02/2022;Grosseto;440;1.653;26,62%;31.106;1.414,52;2.363;1,41%;18,60%
14/02/2022 - 20/02/2022;Livorno;707;2.354;30,03%;48.911;1.445,48;4.207;1,45%;16,80%
14/02/2022 - 20/02/2022;Lucca;773;2.830;27,31%;57.349;1.347,89;4.028;1,35%;19,20%
14/02/2022 - 20/02/2022;Massa Carrara;280;1.049;26,69%;26.637;1.051,17;1.468;1,05%;19,10%
14/02/2022 - 20/02/2022;Pisa;621;2.288;27,14%;66.994;926,95;4.571;0,93%;13,60%
14/02/2022 - 20/02/2022;Prato;328;1.218;26,93%;44.793;732,26;2.295;0,73%;14,30%
14/02/2022 - 20/02/2022;Pistoia;424;1.452;29,20%;45.599;929,84;3.062;0,93%;13,80%
14/02/2022 - 20/02/2022;Siena;604;1.681;35,93%;40.917;1.476,16;3.270;1,48%;18,50%
