Settimana;Comune;Casi
24/01/2022 - 30/01/2022;CELLAMARE;0
24/01/2022 - 30/01/2022;CONVERSANO;37
24/01/2022 - 30/01/2022;CORATO;0
24/01/2022 - 30/01/2022;GIOIA DEL COLLE;0
24/01/2022 - 30/01/2022;GIOVINAZZO;0
24/01/2022 - 30/01/2022;GRAVINA IN P.;55
24/01/2022 - 30/01/2022;GRUMO APPULA;13
24/01/2022 - 30/01/2022;LOCOROTONDO;22
24/01/2022 - 30/01/2022;MODUGNO;12
24/01/2022 - 30/01/2022;MOLA DI BARI;10
24/01/2022 - 30/01/2022;MOLFETTA;0
24/01/2022 - 30/01/2022;MONOPOLI;33
24/01/2022 - 30/01/2022;NOCI;15
24/01/2022 - 30/01/2022;NOICATTARO;20
24/01/2022 - 30/01/2022;PALO DEL C.;0
24/01/2022 - 30/01/2022;POGGIORSINI;0
24/01/2022 - 30/01/2022;POLIGNANO;13
24/01/2022 - 30/01/2022;PUTIGNANO;36
24/01/2022 - 30/01/2022;RUTIGLIANO;15
24/01/2022 - 30/01/2022;RUVO DI P.;0
24/01/2022 - 30/01/2022;SAMMICHELE DI B.;4
24/01/2022 - 30/01/2022;SANNICANDRO DI B.;0
24/01/2022 - 30/01/2022;SANTERAMO IN C.;26
24/01/2022 - 30/01/2022;TERLIZZI;0
24/01/2022 - 30/01/2022;TORITTO;21
24/01/2022 - 30/01/2022;TRIGGIANO;34
24/01/2022 - 30/01/2022;TURI;5
24/01/2022 - 30/01/2022;VALENZANO;3
;;
31/01/2022 - 06/02/2022;ACQUAVIVA;47
31/01/2022 - 06/02/2022;ADELFIA;6
31/01/2022 - 06/02/2022;ALBEROBELLO;8
31/01/2022 - 06/02/2022;ALTAMURA;95
31/01/2022 - 06/02/2022;BARI;373
31/01/2022 - 06/02/2022;BINETTO;1
31/01/2022 - 06/02/2022;BITETTO;11
31/01/2022 - 06/02/2022;BITONTO;112
31/01/2022 - 06/02/2022;BITRITTO;22
31/01/2022 - 06/02/2022;CAPURSO;4
31/01/2022 - 06/02/2022;CASAMASSIMA;1
31/01/2022 - 06/02/2022;CASSANO M.;19
31/01/2022 - 06/02/2022;CASTELLANA G.;23
31/01/2022 - 06/02/2022;CELLAMARE;3
31/01/2022 - 06/02/2022;CONVERSANO;47
31/01/2022 - 06/02/2022;CORATO;0
31/01/2022 - 06/02/2022;GIOIA DEL COLLE;0
31/01/2022 - 06/02/2022;GIOVINAZZO;0
31/01/2022 - 06/02/2022;GRAVINA IN P.;52
31/01/2022 - 06/02/2022;GRUMO APPULA;36
31/01/2022 - 06/02/2022;LOCOROTONDO;19
31/01/2022 - 06/02/2022;MODUGNO;18
31/01/2022 - 06/02/2022;MOLA DI BARI;7
31/01/2022 - 06/02/2022;MOLFETTA;0
31/01/2022 - 06/02/2022;MONOPOLI;39
31/01/2022 - 06/02/2022;NOCI;12
31/01/2022 - 06/02/2022;NOICATTARO;15
31/01/2022 - 06/02/2022;PALO DEL C.;0
31/01/2022 - 06/02/2022;POGGIORSINI;0
31/01/2022 - 06/02/2022;POLIGNANO;4
31/01/2022 - 06/02/2022;PUTIGNANO;19
31/01/2022 - 06/02/2022;RUTIGLIANO;16
31/01/2022 - 06/02/2022;RUVO DI P.;0
31/01/2022 - 06/02/2022;SAMMICHELE DI B.;0
31/01/2022 - 06/02/2022;SANNICANDRO DI B.;0
31/01/2022 - 06/02/2022;SANTERAMO IN C.;23
31/01/2022 - 06/02/2022;TERLIZZI;0
31/01/2022 - 06/02/2022;TORITTO;15
31/01/2022 - 06/02/2022;TRIGGIANO;39
31/01/2022 - 06/02/2022;TURI;12
31/01/2022 - 06/02/2022;VALENZANO;5
;;
07/02/2022 - 13/02/2022;ACQUAVIVA;18
07/02/2022 - 13/02/2022;ADELFIA;14
07/02/2022 - 13/02/2022;ALBEROBELLO;0
07/02/2022 - 13/02/2022;ALTAMURA;56
07/02/2022 - 13/02/2022;BARI;288
07/02/2022 - 13/02/2022;BINETTO;0
07/02/2022 - 13/02/2022;BITETTO;22
07/02/2022 - 13/02/2022;BITONTO;0
07/02/2022 - 13/02/2022;BITRITTO;26
07/02/2022 - 13/02/2022;CAPURSO;7
07/02/2022 - 13/02/2022;CASAMASSIMA;0
