Giorno;Positivi;Positivi_non_consolidati;Sintomatici;Sintomatici_non_consolidati
14/03/21;1,143959551;;1,140567869;
15/03/21;1,129462809;;1,126583672;
16/03/21;1,114809177;;1,112357184;
17/03/21;1,099763177;;1,097741931;
18/03/21;1,084066596;;1,082401448;
19/03/21;1,068658114;;1,067319398;
20/03/21;1,053020314;;1,052048262;
21/03/21;1,037161042;;1,036569189;
22/03/21;1,02231731;;1,02197651;
23/03/21;1,008255112;;1,008156287;
24/03/21;0,995036378;;0,995083416;
25/03/21;0,983810043;;0,983976156;
26/03/21;0,973768627;;0,974134552;
27/03/21;0,964966124;;0,965480494;
28/03/21;0,958046446;;0,958642875;
29/03/21;0,950035627;;0,95064927;
30/03/21;0,942371973;;0,943093991;
31/03/21;0,933847002;;0,93466482;
01/04/21;0,92669062;;0,927590836;
02/04/21;0,918536717;;0,919609847;
03/04/21;0,909054873;;0,910324327;
04/04/21;0,89900633;;0,900274134;
05/04/21;0,885361381;;0,886755692;
06/04/21;0,873125375;;0,874802195;
07/04/21;0,860958025;;0,863064968;
08/04/21;0,85090763;;0,853442911;
09/04/21;0,841692094;;0,844638949;
10/04/21;0,835350361;;0,8386965;
11/04/21;0,831668455;;0,835161449;
12/04/21;0,828617662;;0,832330361;
13/04/21;0,828019112;;0,832063951;
14/04/21;0,829858295;;0,834316883;
15/04/21;0,833908736;;0,838768942;
16/04/21;0,840583465;;0,8458286;
17/04/21;0,848900403;;0,854364039;
18/04/21;0,860678306;;0,866096639;
19/04/21;0,872320832;;0,87760078;
20/04/21;0,883864712;;0,889034287;
21/04/21;0,895129331;;0,900200006;
22/04/21;0,905185487;;0,910205083;
23/04/21;0,914352328;;0,919266838;
24/04/21;0,922531913;;0,927399503;
25/04/21;0,929961461;;0,934547073;
26/04/21;0,933917065;;0,938210771;
27/04/21;0,935139705;;0,939021509;
28/04/21;0,935025169;;0,938503933;
29/04/21;0,930191681;;0,93336554;
30/04/21;0,921982949;;0,924921544;
01/05/21;0,91376082;;0,916571454;
02/05/21;0,905460358;;0,908064435;
03/05/21;0,897778668;;0,900051913;
04/05/21;0,888078162;;0,890101464;
05/05/21;0,876898769;;0,878801018;
06/05/21;0,863770193;;0,865599836;
07/05/21;0,850141664;;0,852013617;
08/05/21;0,835548894;;0,837471997;
09/05/21;0,821786344;;0,823686351;
10/05/21;0,806857084;;0,808763943;
11/05/21;0,792024141;;0,794060469;
12/05/21;0,777980239;;0,780284117;
13/05/21;0,765441833;;0,768102165;
14/05/21;0,754186316;;0,757056998;
15/05/21;0,745040645;;0,74799122;
16/05/21;0,737933855;;0,740799636;
17/05/21;0,729767732;;0,732580969;
18/05/21;0,721990254;;0,724668246;
19/05/21;0,714061963;;0,716617595;
20/05/21;0,706808051;;0,709383244;
21/05/21;0,699690571;;0,702254565;
22/05/21;0,693830483;;0,696155421;
23/05/21;0,690005439;;0,691876659;
24/05/21;0,68447385;;0,685942839;
25/05/21;0,67922663;;0,680460234;
26/05/21;0,674810745;;0,675971721;
27/05/21;0,672712357;;0,673880754;
28/05/21;0,673798398;;0,675087299;
29/05/21;0,675770156;;0,677063161;
30/05/21;0,681139606;;0,682209326;
31/05/21;0,68451151;;0,685547854;
01/06/21;0,688041819;;0,689251629;
02/06/21;0,690611674;;0,692177024;
03/06/21;0,694273313;;0,696329992;
04/06/21;0,699434874;;0,702043759;
05/06/21;0,706742573;;0,709610921;
06/06/21;0,71433056;;0,717347053;
07/06/21;0,717575837;;0,720738051;
08/06/21;0,718726613;;0,722032104;
09/06/21;0,718205615;;0,721427606;
10/06/21;0,717133409;;0,720012619;
11/06/21;0,714841123;;0,717193111;
12/06/21;0,712578204;;0,714142876;
13/06/21;0,711489346;;0,712068371;
