Settimana n.;Settimana;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2020-48;29 novembre-5 dicembre 2021;Lazio;174;958;230.186;4,16;<3,16;122;15,11;115;5,4;590;4,06;131;2,36
2020-48;29 novembre-5 dicembre 2021;Abruzzo;35;231;41.638;5,55;<3,16;44;23,35;30;5,63;122;4,85;35;3,77
2020-48;29 novembre-5 dicembre 2021;Molise;10;18;10.363;1,74;<3,16;-;-;1;1,78;14;2,05;3;1,11
2020-48;29 novembre-5 dicembre 2021;Campania;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-48;29 novembre-5 dicembre 2021;Puglia;50;297;62.947;4,72;<3,16;48;13,81;53;6,42;157;4,33;39;2,61
2020-48;29 novembre-5 dicembre 2021;Basilicata;10;5;12.597;0,4;<3,16;1;0,57;4;1,71;-;-;-;-
2020-48;29 novembre-5 dicembre 2021;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-48;29 novembre-5 dicembre 2021;Sicilia;100;521;120.432;4,33;<3,16;85;19,21;95;7,82;218;2,93;123;4,17
2020-48;29 novembre-5 dicembre 2021;Sardegna;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-49;6-12 dicembre 2021;Piemonte;45;353;63.691;5,54;<3,16;58;15,47;46;5,81;204;5,69;45;2,78
2020-49;6-12 dicembre 2021;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-49;6-12 dicembre 2021;Lombardia;138;937;191.103;4,9;<3,16;139;12,97;93;3,54;591;5,32;114;2,65
2020-49;6-12 dicembre 2021;P.A. di Bolzano;6;13;8.842;1,47;;6;8,9;3;1,83;3;0,62;1;0,58
2020-49;6-12 dicembre 2021;P. A. di Trento;3;7;4.234;1,65;<3,16;2;6,04;2;2,31;3;1,43;-;-
2020-49;6-12 dicembre 2021;Veneto;34;93;48.068;1,93;<3,16;7;3,04;10;1,63;65;2,33;11;0,94
2020-49;6-12 dicembre 2021;Friuli V.G.;7;81;9.215;8,79;<3,16;5;5,51;4;1,61;44;11,04;28;15,26
2020-49;6-12 dicembre 2021;Liguria;16;78;20.877;3,74;<3,16;20;23,98;9;4,05;40;3,41;9;1,48
2020-49;6-12 dicembre 2021;Emilia Romagna;37;286;46.089;6,21;<3,16;74;28,87;67;11,74;128;4,86;17;1,48
2020-49;6-12 dicembre 2021;Toscana;25;147;43.373;3,39;<3,16;40;19,02;31;5,65;61;2,72;15;1,12
2020-49;6-12 dicembre 2021;Umbria;10;50;11.258;4,44;<3,16;18;17,56;16;6,84;14;2,3;2;1,1
2020-49;6-12 dicembre 2021;Marche;16;58;18.421;3,15;<3,16;6;4,84;17;4,49;32;3,35;3;0,78
2020-49;6-12 dicembre 2021;Lazio;180;925;236.275;3,91;<3,16;168;18,35;115;4,8;537;3,65;105;1,88
2020-49;6-12 dicembre 2021;Abruzzo;35;194;44.597;4,35;<3,16;44;21,99;34;6,64;90;3,31;26;2,53
2020-49;6-12 dicembre 2021;Molise;-;-;-;-;<3,16;-;-;-;-;-;-;-;-
2020-49;6-12 dicembre 2021;Campania;31;75;38.569;1,94;<3,16;28;5,5;18;1,89;22;1,21;7;1,21
2020-49;6-12 dicembre 2021;Puglia;80;397;104.302;3,81;<3,16;96;18,79;70;5,97;185;2,94;46;1,88
2020-49;6-12 dicembre 2021;Basilicata;12;20;15.639;1,28;<3,16;8;3,54;12;3,51;-;-;-;-
2020-49;6-12 dicembre 2021;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-49;6-12 dicembre 2021;Sicilia;102;530;123.893;4,28;<3,16;62;14,96;75;6,16;263;3,4;130;4,29
2020-49;6-12 dicembre 2021;Sardegna;11;49;13.662;3,59;;24;20,05;15;6,75;10;1,32;-;-
2020-50;13-19 dicembre 2021;Piemonte;47;419;66.405;6,31;<3,16;64;25,4;48;8,66;240;5,96;67;3,71
2020-50;13-19 dicembre 2021;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-50;13-19 dicembre 2021;Lombardia;148;1.131;203.046;5,57;<3,16;157;11,87;138;4,5;719;6,34;117;2,56
2020-50;13-19 dicembre 2021;P.A. di Bolzano;5;18;7.659;2,35;;7;20,77;4;4,68;6;1,26;1;0,58
2020-50;13-19 dicembre 2021;P. A. di Trento;6;13;8.501;1,53;<3,16;4;5,45;1;0,62;8;1,89;-;-
2020-50;13-19 dicembre 2021;Veneto;44;93;60.560;1,54;<3,16;11;2,66;6;0,59;61;1,85;15;1,14
2020-50;13-19 dicembre 2021;Friuli V.G.;7;17;8.982;1,89;<3,16;5;5,51;-;-;10;2,67;2;1,09
2020-50;13-19 dicembre 2021;Liguria;15;75;18.797;3,99;<3,16;23;27,58;11;5;32;3,12;9;1,63
2020-50;13-19 dicembre 2021;Emilia Romagna;37;243;42.121;5,77;<3,16;62;20,81;39;5,83;125;5,47;17;1,77
2020-50;13-19 dicembre 2021;Toscana;27;178;44.129;4,03;<3,16;43;18;57;9,24;65;2,87;13;1,01
2020-50;13-19 dicembre 2021;Umbria;9;46;9.784;4,7;<3,16;17;22,73;10;5,95;17;3,23;2;0,96
2020-50;13-19 dicembre 2021;Marche;13;76;16.431;4,63;<3,16;12;9,69;3;0,83;54;6,62;7;2,06
2020-50;13-19 dicembre 2021;Lazio;190;1.038;249.861;4,15;<3,16;177;18,37;145;5,71;594;3,81;122;2,07
2020-50;13-19 dicembre 2021;Abruzzo;26;164;32.387;5,06;<3,16;25;16,39;22;5,87;89;4,55;28;3,7
2020-50;13-19 dicembre 2021;Molise;11;12;12.164;0,99;<3,16;-;-;3;5,08;7;0,86;2;0,63
2020-50;13-19 dicembre 2021;Campania;7;29;6.954;4,17;<3,16;14;10,33;10;3,64;4;1,86;1;1,41
2020-50;13-19 dicembre 2021;Puglia;56;269;73.073;3,68;<3,16;60;22,93;58;8,73;124;2,72;27;1,49
2020-50;13-19 dicembre 2021;Basilicata;11;10;14.147;0,71;<3,16;7;3,93;1;0,41;1;0,14;1;0,36
2020-50;13-19 dicembre 2021;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-50;13-19 dicembre 2021;Sicilia;103;608;122.984;4,94;<3,16;86;23,14;105;9,5;297;3,83;120;3,91
2020-50;13-19 dicembre 2021;Sardegna;10;36;12.096;2,98;;15;12,53;18;8,04;3;0,5;-;-
2020-51;20-26 dicembre 2021;Piemonte;47;460;67.104;6,86;<3,16;74;17,97;59;6,75;280;7,52;47;2,76
2020-51;20-26 dicembre 2021;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-51;20-26 dicembre 2021;Lombardia;2;1.442;197.529;7,3;<3,16;202;15,2;198;6,41;871;7,96;171;3,9
2020-51;20-26 dicembre 2021;P.A. di Bolzano;145;14;7.127;1,96;;8;11,87;5;3,05;1;0,27;-;-
2020-51;20-26 dicembre 2021;P. A. di Trento;5;10;5.750;1,74;<3,16;3;9,06;2;2,24;5;1,53;-;-
2020-51;20-26 dicembre 2021;Veneto;4;106;62.196;1,7;<3,16;13;3,92;9;1,15;74;2,01;10;0,7
2020-51;20-26 dicembre 2021;Friuli V.G.;43;19;6.303;3,01;<3,16;6;8,22;1;0,66;8;2,99;4;2,89
2020-51;20-26 dicembre 2021;Liguria;5;90;21.768;4,13;<3,16;20;17,78;6;1,98;51;4,41;13;2,15
2020-51;20-26 dicembre 2021;Emilia Romagna;17;313;36.104;8,67;<3,16;45;31,82;53;16,62;193;8,79;22;2,3
2020-51;20-26 dicembre 2021;Toscana;30;261;45.929;5,68;<3,16;37;13,74;52;7,39;132;5,76;40;3,01
2020-51;20-26 dicembre 2021;Umbria;28;43;6.042;7,12;<3,16;9;13,87;9;5,58;20;7,58;5;4,39
2020-51;20-26 dicembre 2021;Marche;6;91;18.040;5,04;<3,16;22;15,65;12;3,34;50;5,41;7;1,84
2020-51;20-26 dicembre 2021;Lazio;14;993;256.690;3,87;<3,16;131;13,18;116;4,43;622;3,89;124;2,05
2020-51;20-26 dicembre 2021;Abruzzo;195;242;40.124;6,03;<3,16;38;16,87;42;7,63;131;5,56;31;3,52
2020-51;20-26 dicembre 2021;Molise;34;6;10.961;0,55;<3,16;-;-;1;1,72;5;0,69;-;-
2020-51;20-26 dicembre 2021;Campania;10;58;29.927;1,94;<3,16;19;5,27;18;2,64;20;1,37;1;0,2
2020-51;20-26 dicembre 2021;Puglia;24;303;93.009;3,26;<3,16;57;11,86;62;5,77;156;2,84;28;1,24
2020-51;20-26 dicembre 2021;Basilicata;73;23;15.639;1,47;<3,16;9;3,98;13;3,8;1;0,14;-;-
2020-51;20-26 dicembre 2021;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-51;20-26 dicembre 2021;Sicilia;102;624;122.605;5,09;<3,16;70;12,99;108;7,81;337;4,53;109;3,75
2020-51;20-26 dicembre 2021;Sardegna;5;27;6.447;4,19;;14;15,82;8;3,42;5;2,01;-;-
2020-52;27 dicembre 2021-2 gennaio 2022;Piemonte;37;463;52.774;8,77;<3,16;59;30,27;71;15,5;285;8,99;48;3,3
2020-52;27 dicembre 2021-2 gennaio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-52;27 dicembre 2021-2 gennaio 2022;Lombardia;120;1.615;158.402;10,2;<3,16;136;12,34;185;7,41;1.097;12,53;197;5,65
2020-52;27 dicembre 2021-2 gennaio 2022;P.A. di Bolzano;3;6;4.403;1,36;;2;5,93;-;-;4;1,54;-;-
2020-52;27 dicembre 2021-2 gennaio 2022;P. A. di Trento;3;16;4.289;3,73;<3,16;2;6,04;3;3,55;11;5,01;-;-
2020-52;27 dicembre 2021-2 gennaio 2022;Veneto;35;111;50.772;2,19;<3,16;12;4,09;12;1,69;76;2,52;11;1,04
2020-52;27 dicembre 2021-2 gennaio 2022;Friuli V.G.;6;31;7.964;3,89;<3,16;2;3,79;-;-;25;6,76;4;2,13
2020-52;27 dicembre 2021-2 gennaio 2022;Liguria;16;62;20.438;3,03;<3,16;6;7,19;5;2,26;37;3,22;14;2,37
2020-52;27 dicembre 2021-2 gennaio 2022;Emilia Romagna;29;233;39.183;5,95;<3,16;28;17,77;18;4,84;169;7,03;18;1,83
2020-52;27 dicembre 2021-2 gennaio 2022;Toscana;24;248;39.671;6,25;<3,16;37;15,49;34;5,53;146;7,51;31;2,65
2020-52;27 dicembre 2021-2 gennaio 2022;Umbria;6;59;5.765;10,23;<3,16;14;13,66;18;8,05;20;10,48;7;11,76
2020-52;27 dicembre 2021-2 gennaio 2022;Marche;10;70;12.323;5,68;<3,16;11;8,49;7;2,09;48;8,81;4;1,8
2020-52;27 dicembre 2021-2 gennaio 2022;Lazio;191;957;251.772;3,8;<3,16;94;9,96;114;4,59;615;3,9;134;2,24
