codiceProvinciale,codiceMiur,denominazioneUfficiale,primaria,secondaria1grado,secondaria2grado,formazione_professionale,indirizzo,email,latitudeY,longitudeX,comune,alunni
222057151,TNPM015003,LICEO ARTISTICO,False,False,True,False,Piazza S Teresa Verzeri 4,,46.0675394,11.11956138,TRENTO,81
222057150,TNPM015003,LICEO DELLE SCIENZE UMANE,False,False,True,False,Piazza S Teresa Verzeri 4,,46.0675394,11.11956138,TRENTO,93
222055240,TNTD035003,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,False,False,True,False,Piazza S Teresa Verzeri 4,,46.0675394,11.11956138,TRENTO,36
222193001,TNMM803017,SCUOLA SECONDARIA DI PRIMO GRADO VIGOLO VATTARO,False,True,False,False,Via Garibaldi - Vigolo Vattaro 8,,46.00445076,11.19680597,ALTOPIANO DELLA VIGOLANA,153
222192101,TNEE803018,SCUOLA PRIMARIA VIGOLO VATTARO,True,False,False,False,Via Garibaldi - Vigolo Vattaro 8,,46.00445076,11.19680597,ALTOPIANO DELLA VIGOLANA,133
222122101,TNEE803029,"SCUOLA PRIMARIA ""A. FOGAZZARO"" VATTARO",True,False,False,False,Via Venezia - Bosentino 12/A,,46.00128166,11.22644087,ALTOPIANO DELLA VIGOLANA,78
220562101,TNEE80303A,"SCUOLA PRIMARIA ""DON T. SEGNANA"" CENTA SAN NICOLO'",True,False,False,False,Via Don Rossi - Centa San Nicolo 4,,45.96853827,11.23183372,ALTOPIANO DELLA VIGOLANA,57
222057135,TNPS11000Q,LICEO LINGUISTICO,False,False,True,False,Via Mattioli 8,,46.05935578,11.12192491,TRENTO,825
222055406,TNTD180507,ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE,False,False,True,False,Via Brigata Acqui 19,,46.06553655,11.12940325,TRENTO,279
222055431,TNTD18000T,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,False,False,True,False,Via Brigata Acqui 19,,46.06553655,11.12940325,TRENTO,863
222223001,TNMM846015,"SCUOLA SECONDARIA DI PRIMO GRADO ""A. FRANK"" VILLA LAGARINA",False,True,False,False,Via Stockstadt Am Rhein 3,,45.91820607,11.03103851,VILLA LAGARINA,267
221442101,TNEE846027,"SCUOLA PRIMARIA ""R. GALVAGNI"" POMAROLO",True,False,False,False,Piazzale Colonello Angheben 5,,45.92820278,11.04249271,POMAROLO,136
221282101,TNEE84606B,"SCUOLA PRIMARIA ""L. VICENTINI"" NOMI",True,False,False,False,Via Romani 12,,45.92775893,11.07047479,NOMI,46
222222101,TNEE846038,"SCUOLA PRIMARIA ""P. LODRON"" VILLA LAGARINA",True,False,False,False,Via Stockstadt Am Rhein 9,,45.9187164,11.03164213,VILLA LAGARINA,208
221272101,TNEE846016,SCUOLA PRIMARIA NOGAREDO,True,False,False,False,Via Verdi 44,,45.9092342,11.02207632,NOGAREDO,76
221619694,TNFP000001,SETTORE SERVIZI,False,False,False,True,Via Pasqui 10,,,,ROVERETO,68
220013001,TNMM84801R,"SCUOLA SECONDARIA DI PRIMO GRADO ""C. BATTISTI"" ALA",False,True,False,False,Via Don Anzelini 2,,45.75613945,11.00344797,ALA,269
220012105,TNEE84802V,"SCUOLA PRIMARIA ""M.T. di Calcutta"" SERRAVALLE",True,False,False,False,Via Negrelli - Serravalle 10,,45.81193303,11.01420575,ALA,104
220012101,TNEE84801T,"SCUOLA PRIMARIA ""A. BETTA"" ALA",True,False,False,False,Via Betta 9,,45.75619984,11.00158813,ALA,318
220063001,TNMM840016,"SCUOLA SECONDARIA DI PRIMO GRADO ""N. D'ARCO"" ARCO",False,True,False,False,Localita Prabi  ,,45.92407847,10.89139618,ARCO,487
220062105,TNEE840028,SCUOLA PRIMARIA MASSONE,True,False,False,False,Via Maffei - San Martino 2,,45.92437205,10.8979033,ARCO,103
220062104,TNEE840017,SCUOLA PRIMARIA BOLOGNANO,True,False,False,False,Viale Stazione 2,,45.9128545,10.90201007,ARCO,191
220062101,TNEE840039,"SCUOLA PRIMARIA ""G. SEGANTINI"" ARCO",True,False,False,False,Via Nas 28,,45.9178004,10.87806166,ARCO,340
220062102,TNEE84004A,SCUOLA PRIMARIA ROMARZOLLO,True,False,False,False,Via Fossa 8,,45.92032215,10.86420255,ARCO,228
220063002,TN1M00800V,SCUOLA SECONDARIA DI PRIMO GRADO GARDASCUOLA ARCO,False,True,False,False,Via XXIV Maggio 1,,45.91625846,10.88431498,ARCO,142
220067103,TNPS00500B,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,False,False,True,False,Via XXIV Maggio 1,,45.91625846,10.88431498,ARCO,71
220065401,TNTN04500G,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,False,False,True,False,Via XXIV Maggio 1,,45.91625846,10.88431498,ARCO,106
221179903,,EDUCAZIONE LIBERA PER ADULTI,False,False,False,False,Via Perlasca 4,,46.21765617,11.09397786,MEZZOLOMBARDO,0
220062106,TN1E00800N,SCUOLA PRIMARIA GARDASCUOLA ARCO,True,False,False,False,Via XXIV Maggio 1,,45.91625846,10.88431498,ARCO,118
220073001,TNMM847011,"SCUOLA SECONDARIA DI PRIMO GRADO ""D. ALIGHIERI"" AVIO",False,True,False,False,Viale Degasperi 69,,45.7373768,10.94508891,AVIO,147
220072103,TNEE847023,SCUOLA PRIMARIA SABBIONARA DI AVIO,True,False,False,False,Piazza Conciliazione  1,,45.73998457,10.95305006,AVIO,89
220072101,TNEE847012,SCUOLA PRIMARIA AVIO,True,False,False,False,Via Perotti 47,,45.73751027,10.94380572,AVIO,111
