Settimana;Data;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-03;18-24 gennaio;Emilia Romagna;22;37;24.977;1,48;11;3,9;4;0,57;17;1,6;5;1,12
2021-03;18-24 gennaio;Toscana;22;43;36.215;1,19;20;7,61;9;1,34;13;0,76;1;0,1
2021-03;18-24 gennaio;Umbria;11;14;12.788;1,09;5;8,47;6;3,67;1;0,13;2;0,7
2021-03;18-24 gennaio;Marche;11;10;14.580;0,69;-;-;1;0,43;8;0,98;1;0,3
2021-03;18-24 gennaio;Lazio;166;277;201.049;1,38;31;3,43;46;2,11;159;1,3;41;0,86
2021-03;18-24 gennaio;Abruzzo;28;76;31.643;2,4;10;3,04;20;3,33;33;2,01;13;2,19
2021-03;18-24 gennaio;Molise;8;4;6.996;0,57;-;-;-;-;3;0,7;1;0,52
2021-03;18-24 gennaio;Campania;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-03;18-24 gennaio;Puglia;70;133;88.995;1,49;24;5,41;14;1,48;71;1,32;24;1,13
2021-03;18-24 gennaio;Basilicata;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-03;18-24 gennaio;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-03;18-24 gennaio;Sicilia;118;227;142.860;1,59;16;3,46;28;2,21;138;1,54;45;1,26
2021-03;18-24 gennaio;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-04;25-31 gennaio;Piemonte;37;132;47.375;2,79;22;7,25;9;1,67;86;3,13;15;1,3
2021-04;25-31 gennaio;Val D'Aosta;2;6;3.097;1,94;-;-;-;-;6;2,84;-;-
2021-04;25-31 gennaio;Lombardia;140;332;187.341;1,77;44;3,89;47;1,83;197;1,82;44;1,05
2021-04;25-31 gennaio;P.A. di Bolzano;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-04;25-31 gennaio;P. A. di Trento;8;20;10.085;1,98;1;1,63;1;0,53;11;1,99;7;3,43
2021-04;25-31 gennaio;Veneto;49;28;64.855;0,43;-;-;4;0,46;19;0,5;5;0,34
2021-04;25-31 gennaio;Friuli V.G.;6;4;7.905;0,51;-;-;-;-;3;0,92;1;0,69
2021-04;25-31 gennaio;Liguria;17;53;21.701;2,44;17;17,99;13;5,13;17;1,37;6;1,03
2021-04;25-31 gennaio;Emilia Romagna;21;41;23.853;1,72;9;3,89;9;1,59;19;1,7;4;0,85
2021-04;25-31 gennaio;Toscana;27;81;45.900;1,76;19;7,23;19;2,8;35;1,47;8;0,63
2021-04;25-31 gennaio;Umbria;9;18;9.765;1,84;6;10,17;8;4,96;2;0,36;2;0,98
2021-04;25-31 gennaio;Marche;11;10;14.959;0,67;-;-;1;0,56;9;0,99;-;-
2021-04;25-31 gennaio;Lazio;156;218;190.929;1,14;23;2,71;30;1,43;135;1,15;30;0,67
2021-04;25-31 gennaio;Abruzzo;30;84;34.404;2,44;9;2,84;13;2,1;52;2,84;10;1,48
2021-04;25-31 gennaio;Molise;7;3;5.446;0,55;-;-;-;-;3;0,89;-;-
2021-04;25-31 gennaio;Campania;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-04;25-31 gennaio;Puglia;60;107;76.526;1,4;20;4,65;15;1,62;50;1,09;22;1,28
2021-04;25-31 gennaio;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-04;25-31 gennaio;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-04;25-31 gennaio;Sicilia;108;134;130.033;1,03;13;2,54;12;0,9;82;1,02;27;0,86
2021-04;25-31 gennaio;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-05;1-7 febbraio;Piemonte;44;140;63.599;2,2;21;5,8;31;2,22;72;2,24;16;1,16
