"period_start","period_end","publication","url","variant","number_cases","percent_cases_variant","variant_sex_female","percent_variant_female","variant_sex_male","percent_variant_male","native_case","imported_case","period_start_last_45_days","period_end_last_45_days","number_cases_last_45_days","perc_cases_last_45_days","variant_sex_female_last_45_days","percent_variant_female_last_45_days","variant_sex_male_last_45_days","percent_variant_male_last_45_days","native_case_last_45_days","imported_case_last_45_days"
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","P.1",2801,6,1370,6,1431,5.9,2770,31,"03/07/21","16/08/21",176,1.8,83,1.9,93,1.7,171,5
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","B.1.617.2",10281,21.9,4588,20.1,5693,23.6,9533,748,"03/07/21","16/08/21",8111,82.4,3629,82.2,4482,82.5,7576,535
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","B.1.525",424,0.9,173,0.8,251,1,360,64,"03/07/21","16/08/21",7,0.1,4,0.1,3,0.1,5,2
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","B.1.617.1",191,0.4,78,0.3,113,0.5,189,2,"03/07/21","16/08/21",133,1.3,52,1.2,81,1.5,133,0
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","B.1.617.3",6,0.1,4,0.1,2,0.1,6,0,"03/07/21","16/08/21",5,0.1,3,0.1,2,0.1,5,0
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","P.2",5,0.1,1,0.1,4,0.1,5,0,"03/07/21","16/08/21",0,0,0,0,0,0,0,0
"28/12/20","16/08/21","20/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_7/Bollettino_varianti_7.pdf","Other",5703,12.1,2800,12.3,2903,12,5562,141,"03/07/21","16/08/21",617,6.2,286,6.5,331,6.1,584,33
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","B.1.1.7",27411,53.7,13693,55.3,13718,52.2,27164,247,"17/07/21","30/08/21",190,2.3,78,2,112,2.5,183,7
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","B.1.1.7 + E484K",74,0.1,36,0.1,38,0.1,74,0,"17/07/21","30/08/21",2,0.1,1,0.1,1,0.1,2,0
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","B.1.351",285,0.6,134,0.5,151,0.6,274,11,"17/07/21","30/08/21",4,0.1,3,0.1,1,0.1,3,1
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","P.1",2818,5.5,1381,5.6,1437,5.5,2785,33,"17/07/21","30/08/21",35,0.4,18,0.5,17,0.4,32,3
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","B.1.617.2",13711,26.9,6256,25.3,7455,28.3,12814,897,"17/07/21","30/08/21",7314,88.1,3471,88.1,3843,88,6991,323
